exchange,company_id,status
US,US_0,pending
US,US_1,pending
US,US_2,pending
US,US_3,pending
US,US_4,pending
US,US_5,pending
US,US_6,pending
US,US_7,pending
US,US_8,pending
US,US_9,pending
US,US_10,pending
US,US_11,pending
US,US_12,pending
US,US_13,pending
US,US_14,pending
US,US_15,pending
US,US_16,pending
US,US_17,pending
US,US_18,pending
US,US_19,pending
US,US_20,pending
US,US_21,pending
US,US_22,pending
US,US_23,pending
US,US_24,pending
US,US_25,pending
US,US_26,pending
US,US_27,pending
US,US_28,pending
US,US_29,pending
US,US_30,pending
US,US_31,pending
US,US_32,pending
US,US_33,pending
US,US_34,pending
US,US_35,pending
US,US_36,pending
US,US_37,pending
US,US_38,pending
US,US_39,pending
US,US_40,pending
US,US_41,pending
US,US_42,pending
US,US_43,pending
US,US_44,pending
US,US_45,pending
US,US_46,pending
US,US_47,pending
US,US_48,pending
US,US_49,pending
US,US_50,pending
US,US_51,pending
US,US_52,pending
US,US_53,pending
US,US_54,pending
US,US_55,pending
US,US_56,pending
US,US_57,pending
US,US_58,pending
US,US_59,pending
US,US_60,pending
US,US_61,pending
US,US_62,pending
US,US_63,pending
US,US_64,pending
US,US_65,pending
US,US_66,pending
US,US_67,pending
US,US_68,pending
US,US_69,pending
US,US_70,pending
US,US_71,pending
US,US_72,pending
US,US_73,pending
US,US_74,pending
US,US_75,pending
US,US_76,pending
US,US_77,pending
US,US_78,pending
US,US_79,pending
US,US_80,pending
US,US_81,pending
US,US_82,pending
US,US_83,pending
US,US_84,pending
US,US_85,pending
US,US_86,pending
US,US_87,pending
US,US_88,pending
US,US_89,pending
US,US_90,pending
US,US_91,pending
US,US_92,pending
US,US_93,pending
US,US_94,pending
US,US_95,pending
US,US_96,pending
US,US_97,pending
US,US_98,pending
US,US_99,pending
US,US_100,pending
US,US_101,pending
US,US_102,pending
US,US_103,pending
US,US_104,pending
US,US_105,pending
US,US_106,pending
US,US_107,pending
US,US_108,pending
US,US_109,pending
US,US_110,pending
US,US_111,pending
US,US_112,pending
US,US_113,pending
US,US_114,pending
US,US_115,pending
US,US_116,pending
US,US_117,pending
US,US_118,pending
US,US_119,pending
US,US_120,pending
US,US_121,pending
US,US_122,pending
US,US_123,pending
US,US_124,pending
US,US_125,pending
US,US_126,pending
US,US_127,pending
US,US_128,pending
US,US_129,pending
US,US_130,pending
US,US_131,pending
US,US_132,pending
US,US_133,pending
US,US_134,pending
US,US_135,pending
US,US_136,pending
US,US_137,pending
US,US_138,pending
US,US_139,pending
US,US_140,pending
US,US_141,pending
US,US_142,pending
US,US_143,pending
US,US_144,pending
US,US_145,pending
US,US_146,pending
US,US_147,pending
US,US_148,pending
US,US_149,pending
US,US_150,pending
US,US_151,pending
US,US_152,pending
US,US_153,pending
US,US_154,pending
US,US_155,pending
US,US_156,pending
US,US_157,pending
US,US_158,pending
US,US_159,pending
US,US_160,pending
US,US_161,pending
US,US_162,pending
US,US_163,pending
US,US_164,pending
US,US_165,pending
US,US_166,pending
US,US_167,pending
US,US_168,pending
US,US_169,pending
US,US_170,pending
US,US_171,pending
US,US_172,pending
US,US_173,pending
US,US_174,pending
US,US_175,pending
US,US_176,pending
US,US_177,pending
US,US_178,pending
US,US_179,pending
US,US_180,pending
US,US_181,pending
US,US_182,pending
US,US_183,pending
US,US_184,pending
US,US_185,pending
US,US_186,pending
US,US_187,pending
US,US_188,pending
US,US_189,pending
US,US_190,pending
